인덱스,상품명,할인율,할인가,원가
0,[입점특가]키커피컴퍼니 마들렌 4종(택1),19%,"2,900","3,600"
1,라미옥 곱창전골 1730g(2~3인분),14%,"29,900","35,000"
2,송쉐프 한우사골 옛날 짬뽕(2인분),6%,"12,000","12,900"
3,야스노야지로 양고기 함바그 200g ,14%,"6,400","7,500"
4,[행사]수린 한우 국수전골(2~3인분),8%,"22,900","24,900"
5,을지로보석 비빔마라우동(439g) ,35%,"6,400","9,900"
6,"BHC쌀순(가슴살,300g)",27%,"4,300","5,900"
7,밀키요 딸기 그릭요거트(130g),8%,"5,500","6,000"
8,테일러커피 더치커피 캔(235ml),2%,"3,900","4,000"
9,[반얀트리 호텔 몽상클레르]공주밤식빵(250g),11%,"7,500","8,500"
10,삼원가든 두툼 떡갈비 160g(80g*2개입),41%,"2,300","3,900"
11,"생어거스틴 똠양꿍(2인분,415g)",23%,"12,900","16,900"
12,[고래사]어묵탕 320g,16%,"6,600","7,900"
13,매니멀스모크하우스 베이비백립(500g),37%,"16,800","26,900"
14,밀키요 바나나 그릭요거트(130g),8%,"5,500","6,000"
15,떡찌니 유기농 떡국떡(500g),9%,"5,000","5,500"
16,떡찌니 유기농 떡볶이떡(500g),20%,"4,400","5,500"
17,[도스타코스]비프&살사 께사디야(290g),30%,"6,800","9,800"
18,[반얀트리 호텔 몽상클레르]가또아만디에 파운드 케이크(500g),44%,"19,500","35,000"
19,감미옥 도가니탕 650g,16%,"15,400","18,500"
20,충화반점 라구짜장 (350g),42%,"4,400","7,600"
21,"고래사 어묵우삼겹우동전골(2~3인분,740g)",22%,"13,900","17,900"
22,[고래사]매콤어묵탕 320g,20%,"6,300","7,900"
23,설성목장 닭곰탕 (500g),14%,"7,100","8,300"
24,무항생제 통통등심 고구마 돈까스(135g×3입),19%,"7,900","9,800"
25,무항생제 통통등심 치즈 돈까스(135g×3입),19%,"7,900","9,800"
26,신선한 연어장(400g),24%,"15,900","21,000"
27,[행사]송쉐프 한우사골 옛날 짜장면(2인분),9%,"9,500","10,500"
28,[입점특가]놉스 치즈폭탄 라자냐(400g),18%,"8,900","10,900"
29,한우한돈 우리밀 치즈폭탄 불고기피자(470g),30%,"8,700","12,500"
30,펠트 디카페인 원두(200g),3%,"14,500","15,000"
31, 양념 비빔 새우장(600g),35%,"16,250","25,000"
32,[입점특가]놉스 치즈폭탄 맥앤치즈(200g),23%,"4,500","5,900"
33,숫꽃게 양념게장(800g),30%,"27,000","38,600"
34,아침미소목장 한라봉 요구르트(500ml),30%,"5,040","7,200"
35,[나폴레옹] 수제 쿠키 4종 세트(1박스),4%,"41,000","43,000"
36,블랙 쌀식빵 트리플치즈 95g,10%,"4,230","4,700"
37,"[반얀트리 호텔 몽상클레르] 케익시트롱(1박스, 250g)",20%,"17,500","22,000"
38,"박막례 국물떡볶이(2인분,545g) ",0%,"6,900","6,900"
39,[쇼핑백]삼청동 에그롤 3종 혼합세트(2입X12봉),6%,"27,000","29,000"
40,블랙 쌀식빵 블루베리크림 140g,10%,"4,230","4,700"
41,[입점특가]떡미당 밥알현미영양떡(360g),26%,"5,900","8,000"
42,힘난다 힘백 스테이크 패티(140gX4입),16%,"17,900","21,400"
43,간편한끼 쌀식빵 무화과 125g,10%,"3,510","3,900"
44,"[반얀트리 호텔 몽상클레르] 솜블(1입, 220g)",14%,"7,300","8,500"
45,[창화당]쫄면(450g),15%,"5,500","6,500"
46,힘난다 버거 번(50gX3입),25%,"3,000","4,000"
47,국내산 닭다리 통살 유린기(470g),20%,"8,720","10,900"
48,"[63파빌리온] 얼큰 소고기 전골(2인분,냉장980g)",22%,"16,900","21,900"
49,간편한끼 쌀식빵 어니언크림 140g,17%,"3,800","4,600"
50,한입 전복장(400g),25%,"19,500","26,000"
51,"[중앙해장] 한우 내장탕(소스포함, 816g)",13%,"13,900","16,000"
52,간편한끼 쌀식빵 바토치 145g,10%,"5,040","5,600"
53,간장 순살 새우장(800g),25%,"18,750","25,000"
54,저당저칼로리 꼬랑지마카롱(60~120g),27%,"8,500","11,800"
55,"[반얀트리 호텔 몽상클레르] 더블프로마쥬(4입x1박스, 240g)",21%,"14,500","18,500"
56,[창화당]모둠만두(400g),11%,"7,900","8,900"
57,설성목장 한우 왕만두(420g),30%,"5,240","7,500"
58,부엉이돈가스 눈꽃 치즈돈가스(360g),18%,"9,600","11,800"
59,부엉이돈가스 더티 치즈돈가스(260g),26%,"7,900","10,800"
60,참돔 껍질회(120g),14%,"11,500","13,500"
61,농어 껍질회(120g),17%,"12,000","14,500"
