인덱스,상품명,할인율,할인가,원가,이미지
0,큰뼈없는 왕족발 (870g) / 대자연,20%,"21,000","26,500",https://www.oasis.co.kr:48581/product/3680/thumb/thumb_3680324ea82e-7605-41d7-8d63-d9ee45eb05c8.jpg_300
1,쫄깃한 양념편육 (300g),20%,"6,000","7,500",https://www.oasis.co.kr:48581/product/1109/thumb/thumb_1109639b91fb-0350-41fe-b868-a5ba1bf62e4d.jpg_300
2,양념곱창 (250g),20%,"6,800","8,500",https://www.oasis.co.kr:48581/product/1431/thumb/thumb_143102e949c7-5513-4800-8104-ad8dffb71ffc.jpg_300
3,전통 찰순대(400g),20%,"6,960","8,700",https://www.oasis.co.kr:48581/product/2731/thumb/thumb_2731cbbb3565-af9e-443f-8a2e-b21d47e8b910.jpg_300
4,매콤순대 곱창볶음 (300g),32%,"5,700","8,500",https://www.oasis.co.kr:48581/product/2965/thumb/thumb_29651c8e6bea-cf7b-4342-8459-5657642ecf05.jpg_300
5,[유기농] 닭껍질꼬치(250g),28%,"9,200","12,900",https://www.oasis.co.kr:48581/product/3683/thumb/thumb_368318582506-9a47-4a3b-98db-09d41d531f4a.jpg_300
6,유기농 닭볶음탕 500g,17%,"15,200","18,500",https://www.oasis.co.kr:48581/product/13586/thumb/thumb_135862973b553-6fbd-42f6-b402-e8dcc60f6156.jpg_300
7,"[맛보장] 춘천식 닭갈비 (2~3인분, 600g)",31%,"8,200","11,900",https://www.oasis.co.kr:48581/product/43175/thumb/thumb_43175473ef698-6578-48bc-a83a-733f9f9db0eb.jpg_300
8,와필레 리에주 와플 (55g~70g) ,0%,"3,800","3,800",https://www.oasis.co.kr:48581/product/43428/thumb/thumb_43428cc6d26c7-2ce9-49d8-a78b-89d6fa785d2d.jpg_300
9,을지로보석 비빔마라우동(439g) ,35%,"6,400","9,900",https://www.oasis.co.kr:48581/product/46116/thumb/thumb_46116391f8f52-6bc6-4b59-b10d-8b6c567d164d.jpg_300
10,라미옥 곱창전골 1730g(2~3인분),14%,"29,900","35,000",https://www.oasis.co.kr:48581/product/46291/thumb/thumb_4629148fde6f1-96cb-471a-b3f9-14154f4a527e.jpg_300
11,야스노야지로 양고기 함바그 200g ,14%,"6,400","7,500",https://www.oasis.co.kr:48581/product/46313/thumb/thumb_46313602044df-6720-4489-85ab-f4ac1c832992.jpg_300
12,[입점특가] 문어닮은소떡(500g),33%,"7,900","11,900",https://www.oasis.co.kr:48581/product/40236/thumb/thumb_4023691ee9b38-a745-4776-964a-eb353b16f76c.jpg_300
13,"[맛보장] 땡초 닭갈비 (1인분, 200g)",38%,"3,600","5,900",https://www.oasis.co.kr:48581/product/43196/thumb/thumb_43196e1571a41-0a2c-4362-a9e2-295617deaf66.jpg_300
14,[입점특가] 라쿠치나 간편 파스타 3종  (알리오올리오 | 바질페스토 | 올리브토마토),16%,"5,000","6,000",https://www.oasis.co.kr:48581/product/44318/thumb/thumb_44318fc976bf5-4fe2-430c-b28d-6000a8d18ee4.jpg_300
15,미니족발 (200g) / 대자연,20%,"4,640","5,800",https://www.oasis.co.kr:48581/product/3956/thumb/thumb_3956c3487cfe-2a17-4142-9703-f5416ce2d6c7.jpg_300
16,우리쌀 현미치즈떡볶이(360g),22%,"5,600","7,200",https://www.oasis.co.kr:48581/product/1902/thumb/thumb_19025d3c06d6-b9f3-435a-bcb6-a498f0177415.jpg_300
17,"속초 중앙닭강정(순살 매콤한맛, 600g)",0%,"12,900","12,900",https://www.oasis.co.kr:48581/product/36703/thumb/thumb_36703abb952ba-63da-429f-b2af-6d26f75406d6.jpg_300
18,닭 다리살 꼬치(450g),20%,"13,800","17,300",https://www.oasis.co.kr:48581/product/37522/thumb/thumb_3752289ee22e9-914c-41a8-ab0e-f4a7205b8fe1.jpg_300
